original_id,original_acronym,original_name,target_id,target_acronym
66,LT,Lateral terminal nucleus of the accessory optic tract,313,MB
67,INC,Interstitial nucleus of Cajal,313,MB
68,FRP1,Frontal pole layer 1,315,Isocortex
69,SPVOvl,Spinal nucleus of the trigeminal oral part ventrolateral part,1065,HB
71,PVHm,Paraventricular hypothalamic nucleus magnocellular division,1129,IB
72,ADP,Anterodorsal preoptic nucleus,1129,IB
73,VS,ventricular systems,73,VS
74,VISl6a,Lateral visual area layer 6a,315,Isocortex
75,DT,Dorsal terminal nucleus of the accessory optic tract,313,MB
76,INV,Interstitial nucleus of the vestibular nerve,1065,HB
77,SPVOcdm,Spinal nucleus of the trigeminal oral part caudal dorsomedial part,1065,HB
79,PVHmm,Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part,1129,IB
80,AHA,Anterior hypothalamic area,1129,IB
81,VL,lateral ventricle,73,VS
82,NLLd,Nucleus of the lateral lemniscus dorsal part,1065,HB
83,IO,Inferior olivary complex,1065,HB
84,PL6a,Prelimbic area layer 6a,315,Isocortex
87,PVHmpd,Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone,1129,IB
88,AHN,Anterior hypothalamic nucleus,1129,IB
89,RC,rhinocele,73,VS
90,NLLh,Nucleus of the lateral lemniscus horizontal part,1065,HB
91,IP,Interposed nucleus,519,CBN
92,ENTl4,Entorhinal area lateral part layer 4,822,RHP
94,PVHp,Paraventricular hypothalamic nucleus parvicellular division,1129,IB
95,AI,Agranular insular area,315,Isocortex
96,DCO,Dorsal cochlear nucleus,1065,HB
97,TEa1,Temporal association areas layer 1,315,Isocortex
98,SEZ,subependymal zone,73,VS
99,NLLv,Nucleus of the lateral lemniscus ventral part,1065,HB
100,IPN,Interpeduncular nucleus,313,MB
101,VCO,Ventral cochlear nucleus,1065,HB
103,PVHpm,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part,1129,IB
104,AId,Agranular insular area dorsal part,315,Isocortex
105,SOCm,Superior olivary complex medial part,1065,HB
106,ISN,Inferior salivatory nucleus,1065,HB
107,MO1,Somatomotor areas Layer 1,315,Isocortex
108,chpl,choroid plexus,73,VS
110,PVHpv,Paraventricular hypothalamic nucleus parvicellular division periventricular part,1129,IB
111,AIp,Agranular insular area posterior part,315,Isocortex
112,CNlam,Granular lamina of the cochlear nuclei,1065,HB
113,SSp-ll2/3,Primary somatosensory area lower limb layer 2/3,315,Isocortex
114,SOCl,Superior olivary complex lateral part,1065,HB
115,IV,Trochlear nucleus,313,MB
116,chfl,choroid fissure,73,VS
118,PVi,Periventricular hypothalamic nucleus intermediate part,1129,IB
119,AIv,Agranular insular area ventral part,315,Isocortex
120,AIp1,Agranular insular area posterior part layer 1,315,Isocortex
121,VISl6b,Lateral visual area layer 6b,315,Isocortex
122,POR,Superior olivary complex periolivary region,1065,HB
123,KF,Koelliker-Fuse subnucleus,1065,HB
124,IVF,interventricular foramen,73,VS
126,PVp,Periventricular hypothalamic nucleus posterior part,1129,IB
127,AM,Anteromedial nucleus,1129,IB
128,MRN,Midbrain reticular nucleus,313,MB
129,V3,third ventricle,73,VS
130,CSm,Superior central nucleus raphe medial part,1065,HB
131,LA,Lateral amygdalar nucleus,703,CTXsp
132,PL6b,Prelimbic area layer 6b,315,Isocortex
133,PVpo,Periventricular hypothalamic nucleus preoptic part,1129,IB
135,AMB,Nucleus ambiguus,1065,HB
136,IRN,Intermediate reticular nucleus,1065,HB
